Overall Qual,Overall Cond,Total Bsmt SF,Central Air,Gr Liv Area,SalePrice
6,5,1080.0,Y,1656,215000
5,6,882.0,Y,896,105000
6,6,1329.0,Y,1329,172000
7,5,2110.0,Y,2110,244000
5,5,928.0,Y,1629,189900
6,6,926.0,Y,1604,195500
8,5,1338.0,Y,1338,213500
8,5,1280.0,Y,1280,191500
8,5,1595.0,Y,1616,236500
7,5,994.0,Y,1804,189000
6,5,763.0,Y,1655,175900
6,7,1168.0,Y,1187,185000
6,5,789.0,Y,1465,180400
7,5,1300.0,Y,1341,171500
8,5,1488.0,Y,1502,212000
8,5,1650.0,Y,3279,538000
8,7,559.0,Y,1752,164000
9,2,1856.0,Y,1856,394432
4,5,864.0,Y,864,141000
6,6,1542.0,Y,2073,210000
6,6,1844.0,Y,1844,190000
7,6,1053.0,Y,1173,170000
7,5,814.0,Y,1674,216000
6,7,1004.0,Y,1004,149000
5,6,1078.0,Y,1078,149900
5,6,1056.0,Y,1056,142000
4,5,882.0,Y,882,126000
4,5,864.0,Y,864,115000
7,5,1405.0,Y,1337,184000
6,5,483.0,Y,987,96000
5,5,525.0,Y,1092,105500
6,5,525.0,Y,1092,88000
6,5,1069.0,Y,1069,127500
6,6,855.0,Y,1456,149900
7,6,836.0,Y,836,120000
6,5,855.0,Y,1456,146000
9,5,1590.0,Y,2334,376162
8,5,1704.0,Y,1704,306000
9,5,1930.0,Y,1940,395192
8,5,1544.0,Y,1544,290941
7,5,1541.0,Y,1541,220000
9,5,1698.0,Y,1698,275000
8,5,1822.0,Y,1822,259000
7,5,1517.0,Y,1535,214000
9,5,2330.0,Y,2364,611657
7,5,1358.0,Y,1358,224000
9,5,2846.0,Y,2696,500000
8,5,1671.0,Y,2250,320000
9,5,1752.0,Y,1752,319900
8,5,1370.0,Y,1370,205000
7,5,764.0,Y,1626,175500
6,5,1324.0,Y,1324,199500
7,5,1145.0,Y,1145,160000
8,5,1256.0,Y,1269,192000
7,5,384.0,Y,1374,184500
6,5,860.0,Y,1960,216500
7,5,847.0,Y,1733,185088
7,5,384.0,Y,1430,180000
7,5,884.0,Y,2035,222500
9,5,1393.0,Y,2599,333168
8,5,1629.0,Y,2475,355000
7,5,1720.0,Y,1720,260400
8,5,1463.0,Y,2622,325000
8,7,1152.0,Y,2270,290000
7,5,1195.0,Y,1839,221000
8,5,2033.0,Y,3238,410000
8,5,1595.0,Y,1595,221500
7,5,1218.0,Y,1218,204500
7,5,756.0,Y,1547,215200
8,5,1566.0,Y,1566,262500
7,5,991.0,Y,1947,254900
6,5,1468.0,Y,1468,271500
7,5,956.0,Y,2084,233000
7,5,831.0,Y,1659,181000
7,5,948.0,Y,2110,205000
6,5,923.0,Y,923,143000
6,5,1055.0,Y,1845,189000
6,5,918.0,Y,918,99500
6,5,744.0,Y,752,125000
7,7,996.0,Y,1744,194500
6,5,1040.0,Y,1097,152000
6,6,650.0,Y,1564,171000
5,5,816.0,N,1012,67500
6,5,0.0,Y,1902,112000
5,7,1109.0,Y,1155,148000
5,8,894.0,Y,894,138500
5,5,882.0,Y,900,122000
5,5,1040.0,Y,1040,133000
5,8,1040.0,Y,1040,127000
6,6,1208.0,Y,1494,169000
7,5,750.0,Y,1923,190000
8,5,1231.0,Y,2349,362500
8,5,1390.0,Y,2225,285000
7,5,1488.0,Y,1488,260000
7,5,840.0,Y,1680,190000
7,5,600.0,Y,1200,155000
7,5,600.0,Y,1200,151000
7,5,600.0,Y,1200,149500
6,5,600.0,Y,1236,152000
7,5,1470.0,Y,1478,222000
6,5,756.0,Y,1573,177500
6,5,756.0,Y,1512,177000
7,5,696.0,Y,1416,155000
7,5,530.0,Y,1080,147110
8,5,1642.0,Y,1418,267916
8,5,975.0,Y,1848,254000
8,5,728.0,Y,788,155000
8,6,1226.0,Y,1226,206000
6,8,725.0,Y,1479,130500
7,5,1492.0,Y,1492,230000
6,6,1829.0,Y,1829,218500
6,5,1280.0,Y,2495,243500
6,7,1610.0,Y,1610,205000
6,5,1224.0,Y,1891,212500
7,5,980.0,Y,1714,196500
6,7,1161.0,Y,1381,197500
6,6,715.0,Y,1645,171000
5,5,1232.0,Y,1232,142250
6,5,1328.0,Y,1328,143000
4,5,950.0,Y,1225,128950
5,5,1209.0,Y,1209,159000
5,6,1510.0,Y,1510,178900
6,5,533.0,Y,1775,136300
5,7,1152.0,Y,1152,180500
6,7,936.0,Y,1054,137500
5,6,1728.0,Y,1728,84900
5,6,1078.0,Y,1078,142125
5,7,1140.0,Y,2461,197600
6,6,782.0,Y,1556,172500
5,7,858.0,Y,858,116500
3,2,728.0,Y,1306,76500
5,5,1056.0,Y,1063,128000
6,6,1156.0,Y,1520,153000
5,6,1268.0,Y,1268,132000
6,8,1080.0,Y,1128,178000
5,5,1105.0,Y,2274,154300
7,5,1947.0,Y,2207,180000
6,6,1517.0,Y,1888,190000
5,5,1604.0,Y,1604,135000
7,5,1480.0,Y,1480,214000
5,5,1143.0,Y,1143,136000
5,5,1398.0,Y,1700,165500
5,6,1314.0,Y,1314,145000
6,6,1194.0,Y,1194,148000
5,5,1188.0,Y,1188,142000
5,5,1268.0,Y,1264,167500
5,5,1206.0,Y,1206,108538
6,5,1244.0,Y,1580,159500
4,5,832.0,Y,1337,108000
5,7,864.0,Y,1064,135000
5,6,972.0,Y,972,122500
5,5,988.0,Y,988,119000
5,7,1057.0,Y,1057,109000
4,7,576.0,Y,985,105000
5,7,0.0,Y,827,107500
5,7,1086.0,Y,1086,144900
5,7,936.0,Y,936,129000
6,5,912.0,Y,1458,97500
6,5,1056.0,Y,1056,144000
5,7,1063.0,Y,1287,162000
7,7,710.0,Y,2978,242000
6,8,816.0,Y,1224,132000
5,7,1246.0,Y,1246,154000
5,4,910.0,Y,1385,166000
5,7,900.0,Y,900,134800
6,6,1116.0,Y,1116,160000
5,6,1175.0,Y,1175,148000
6,7,1395.0,Y,1395,192000
6,5,756.0,Y,1839,155000
4,5,709.0,Y,1844,80400
4,7,576.0,Y,1140,96500
5,7,936.0,Y,936,109500
5,6,1008.0,Y,1028,115000
5,7,1347.0,Y,1347,143000
3,6,840.0,N,1605,107400
4,6,747.0,Y,747,80000
5,7,788.0,Y,804,119000
5,7,926.0,Y,1316,130000
6,7,827.0,Y,1251,119000
5,7,1027.0,Y,1633,129000
5,6,1008.0,Y,1245,100000
2,2,678.0,N,832,12789
6,8,624.0,Y,720,105900
8,9,930.0,N,1566,150000
5,6,686.0,Y,1652,139000
8,9,346.0,Y,2268,240000
5,3,840.0,N,2256,76500
6,7,912.0,Y,1236,149700
4,7,622.0,Y,1363,125500
4,6,777.0,Y,2290,122500
6,7,738.0,Y,1470,140750
5,6,988.0,Y,1612,128500
7,7,1108.0,N,2068,209500
4,7,765.0,N,765,87000
6,7,608.0,Y,1132,134000
6,6,572.0,Y,1196,128000
5,6,835.0,Y,1453,132000
6,7,780.0,Y,1416,139900
5,7,528.0,Y,1040,123900
5,5,928.0,Y,1536,138400
6,5,1124.0,Y,1068,109500
7,6,576.0,Y,1710,140000
4,5,888.0,Y,1962,149500
6,8,780.0,Y,1560,159900
6,8,662.0,Y,1324,122000
5,5,816.0,N,816,110000
4,5,0.0,N,1092,55000
5,9,360.0,Y,1812,140000
7,7,1032.0,Y,2403,244400
5,5,1422.0,Y,1675,173000
5,3,689.0,N,1224,107500
5,4,1212.0,N,1392,100000
6,5,600.0,N,919,95000
4,1,707.0,N,1884,93369
5,7,856.0,Y,1680,114900
5,8,780.0,N,1020,94000
4,3,1832.0,N,1832,136000
4,5,1768.0,N,1768,136500
5,4,1039.0,Y,1039,131500
5,6,1392.0,Y,1392,121500
5,5,912.0,Y,912,125000
5,8,1060.0,Y,1060,154000
5,7,864.0,Y,892,137900
6,7,663.0,Y,1352,158000
5,5,864.0,Y,864,137250
5,5,1319.0,Y,1373,160250
5,5,720.0,Y,1440,163000
6,5,672.0,Y,1386,158900
7,5,1306.0,Y,2260,328000
7,7,1420.0,Y,1483,270000
4,4,660.0,N,756,85000
4,7,1067.0,Y,1067,128000
7,6,1332.0,Y,1524,260000
6,5,1117.0,Y,1981,230000
3,4,972.0,Y,1610,124000
5,5,458.0,N,835,83000
6,7,663.0,Y,1074,144500
5,6,1144.0,Y,1144,129000
4,6,756.0,Y,1531,127000
5,7,1172.0,Y,1172,128000
6,5,1212.0,Y,1212,186000
7,5,1508.0,Y,1508,308030
5,3,1250.0,Y,1298,114000
4,7,0.0,Y,930,84900
6,5,741.0,Y,1732,178000
7,5,1433.0,Y,1433,270000
6,7,946.0,Y,1802,218000
7,5,1050.0,Y,1949,236000
6,6,936.0,Y,996,147000
8,5,1694.0,Y,1694,245350
7,5,1187.0,Y,1208,206000
7,5,1226.0,Y,1226,198900
7,5,1222.0,Y,1222,187000
7,5,1673.0,Y,3222,320000
6,8,676.0,Y,1445,138500
6,7,1010.0,Y,1052,155000
5,5,870.0,Y,965,159000
7,5,878.0,Y,1692,191000
6,5,804.0,Y,1682,200500
5,8,1026.0,Y,1026,150000
6,7,689.0,Y,1392,161750
5,6,894.0,Y,894,128200
5,6,876.0,Y,876,127000
8,5,1978.0,Y,1978,318000
8,5,1581.0,Y,1601,272000
7,6,941.0,Y,1829,237000
7,5,1040.0,Y,2098,240000
7,5,1649.0,Y,1661,224900
6,5,848.0,Y,848,143750
6,5,848.0,Y,848,143000
8,5,1657.0,Y,1668,232000
7,5,1473.0,Y,1484,213000
7,5,1414.0,Y,1414,185500
3,6,0.0,N,640,84900
5,6,381.0,Y,992,155891
5,5,0.0,N,1664,100000
5,6,1196.0,Y,1196,144000
4,5,744.0,N,1120,64000
6,6,1008.0,Y,1096,125200
6,5,1029.0,Y,1117,107000
4,5,960.0,Y,960,90000
4,5,1121.0,Y,1121,140000
6,4,735.0,Y,1487,113000
4,4,672.0,N,924,80000
5,6,1216.0,Y,1526,144500
5,6,1107.0,N,1296,104000
6,4,806.0,N,1647,128000
3,3,864.0,N,864,58500
5,6,1026.0,Y,1691,127000
6,6,856.0,Y,856,126000
4,6,0.0,Y,2650,160000
5,2,894.0,Y,1666,100000
6,7,804.0,Y,2447,169000
7,6,1528.0,Y,2133,257500
5,6,1032.0,Y,2177,215000
7,9,1152.0,Y,2340,266500
7,8,1902.0,Y,1902,335000
7,6,423.0,Y,1652,203135
8,6,982.0,Y,1034,185000
8,5,1191.0,Y,1191,162500
7,8,1501.0,Y,1801,289000
4,8,796.0,Y,1154,125500
2,5,480.0,Y,540,82000
6,5,629.0,Y,1107,110000
4,4,698.0,Y,1128,68400
4,7,859.0,Y,1178,102776
5,5,540.0,N,1044,55993
4,7,756.0,Y,952,50138
8,5,1594.0,Y,1646,246000
8,5,1049.0,Y,1916,254900
6,7,1243.0,Y,1285,190000
7,5,1560.0,Y,1560,201000
6,5,1012.0,Y,1034,169900
6,5,1958.0,Y,2048,170000
5,5,747.0,Y,1687,160000
7,5,1336.0,Y,1346,220000
7,5,1214.0,Y,1214,179781
5,5,384.0,Y,1444,174000
8,5,774.0,Y,1968,269500
7,5,817.0,Y,1894,214900
8,5,967.0,Y,1908,202900
9,5,2002.0,Y,2018,378500
5,5,1068.0,Y,1264,169000
5,5,1430.0,Y,1430,173500
6,5,912.0,Y,1824,139000
5,5,1344.0,Y,1344,166500
4,5,546.0,Y,1092,83500
5,6,945.0,Y,945,119500
5,3,536.0,Y,1112,85000
4,7,546.0,Y,1092,76000
4,6,630.0,Y,630,75500
4,4,546.0,Y,1092,88250
4,6,546.0,Y,1092,85500
5,7,864.0,Y,874,130000
5,7,1188.0,Y,1188,157900
5,7,833.0,Y,833,149900
5,2,1216.0,Y,2432,159000
5,5,624.0,Y,1274,136000
5,5,864.0,Y,1479,161000
8,5,1679.0,Y,1803,285000
6,5,1152.0,Y,1797,231000
6,5,882.0,Y,882,124500
6,5,1434.0,Y,1434,157000
8,7,1952.0,Y,2704,345000
6,5,945.0,Y,1608,189500
8,5,1008.0,Y,2283,270000
7,5,384.0,Y,1628,189000
9,5,1746.0,Y,1746,377500
7,5,384.0,Y,1474,168500
8,5,2208.0,Y,2522,375000
8,5,1501.0,Y,1659,278000
8,5,1418.0,Y,1478,240000
8,5,1587.0,Y,1734,239500
7,5,384.0,Y,1382,177500
7,5,832.0,Y,1718,185000
6,5,952.0,Y,1636,191000
6,7,799.0,Y,1571,178000
6,8,680.0,Y,1470,185000
6,5,707.0,Y,1516,181316
6,5,1181.0,Y,1190,166000
6,5,808.0,Y,1593,178000
6,5,702.0,Y,1481,174000
6,6,1158.0,Y,1167,173000
7,5,978.0,Y,1983,225000
7,5,1424.0,Y,1442,180500
8,5,1220.0,Y,1360,187500
9,5,2216.0,Y,2234,501837
8,5,2046.0,Y,2046,372500
7,5,1530.0,Y,1530,260000
5,6,1122.0,Y,1934,185000
7,7,845.0,Y,2353,260000
6,5,1362.0,Y,1586,181000
7,5,1386.0,Y,1411,82500
6,7,1602.0,Y,1602,215000
7,6,832.0,Y,2050,154000
6,6,1427.0,Y,1671,200000
7,7,1043.0,Y,2673,249000
7,5,1372.0,Y,1472,187500
6,5,1140.0,Y,1707,184000
8,5,2524.0,Y,2524,278000
7,5,1271.0,Y,1601,157000
7,5,1090.0,Y,1370,152000
5,7,780.0,Y,1868,197500
7,5,926.0,Y,1884,240900
8,5,832.0,Y,1935,263435
8,5,1058.0,Y,1874,220000
8,5,972.0,Y,1811,235000
5,7,1621.0,Y,1621,213000
6,6,1116.0,Y,1116,167900
7,5,1176.0,Y,1193,158000
6,5,1064.0,Y,1350,165000
6,6,689.0,Y,2119,158000
5,5,896.0,Y,1792,136000
5,6,1002.0,Y,1002,148500
6,8,1026.0,Y,1026,156000
5,5,1180.0,Y,1180,128000
5,7,1043.0,Y,1050,143000
4,6,864.0,Y,864,76500
4,6,864.0,Y,864,120500
4,7,864.0,Y,864,124500
4,6,864.0,Y,864,97000
4,7,864.0,Y,864,130000
6,5,483.0,Y,987,111000
5,6,765.0,Y,1365,125000
5,5,630.0,Y,1302,112000
6,6,483.0,Y,987,97000
6,8,483.0,Y,987,118000
5,7,630.0,Y,1302,119500
6,6,958.0,Y,958,143750
6,5,804.0,Y,1548,146000
